Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,Age_scaled,Fare_scaled,FamilySize,FarePerPerson,Class_Fare,Fare_log,AgeGroup
0,3,21.0,0,0,8.05,True,False,True,-0.6100963453267019,-0.7814711077429595,1,8.05,24.150000000000002,2.2027647577118348,YoungAdult
0,3,18.0,2,0,18.0,False,False,True,-0.8357118927001413,-0.29539695352818096,3,6.0,54.0,2.9444389791664403,Teen
1,3,14.0,1,0,11.2417,False,False,False,-1.136532622531394,-0.6255512205060441,2,5.62085,33.7251,2.5048481563289,Teen
0,3,40.0,1,0,9.475,False,False,True,0.8188021213717487,-0.7118574725915968,2,4.7375,28.424999999999997,2.348991465808201,Adult
0,2,27.0,1,0,21.0,False,False,True,-0.15886525057982273,-0.14884193215689093,2,10.5,42.0,3.091042453358316,YoungAdult
0,3,25.0,0,0,7.8958,True,False,False,-0.3092756154954491,-0.7890040358414437,1,7.8958,23.6874,2.1855792552411137,YoungAdult
1,2,3.0,1,2,41.5792,False,False,False,-1.9637896295673392,0.8564864331111263,4,10.3948,83.1584,3.7513658711253766,Child
1,3,19.0,0,0,7.8792,False,True,False,-0.7605067102423282,-0.789814973626365,1,7.8792,23.6376,2.1837114628556327,YoungAdult
0,3,25.0,0,0,8.05,True,False,True,-0.3092756154954491,-0.7814711077429595,1,8.05,24.150000000000002,2.2027647577118348,YoungAdult
0,3,25.0,1,0,15.5,True,True,False,-0.3092756154954491,-0.417526138004256,2,7.75,46.5,2.803360380906535,YoungAdult
1,3,21.5,0,0,7.75,False,True,False,-0.5724937540977952,-0.7961266098800885,1,7.75,23.25,2.169053700369523,YoungAdult
0,3,25.0,2,0,21.6792,True,False,False,-0.3092756154954491,-0.1156618753184308,3,7.226400000000001,65.0376,3.1214482048688246,YoungAdult
0,3,18.0,1,0,17.8,False,False,True,-0.8357118927001413,-0.30516728828626694,2,8.9,53.400000000000006,2.9338568698359038,Teen
0,3,7.0,4,1,39.6875,True,False,True,-1.6629688997360863,0.7640737218017698,6,6.614583333333333,119.0625,3.705920919968788,Child
0,3,21.0,0,0,7.8,True,False,True,-0.6100963453267019,-0.793684026190567,1,7.8,23.4,2.174751721484161,YoungAdult
1,1,49.0,1,0,65.6344,False,False,False,1.4956487634920672,2.0316232164746784,2,32.8172,65.6344,4.19922096071412,Adult
1,2,29.0,1,0,26.0,False,False,True,-0.008454885664196365,0.0954164367952591,2,13.0,52.0,3.295836866004329,YoungAdult
0,1,65.0,0,1,61.9792,True,False,False,2.6989316828170784,1.8530605784358982,2,30.9896,61.9792,4.142804513146981,Senior
1,1,40.0,0,0,35.5,True,False,True,0.8188021213717487,0.5595073378043441,1,35.5,35.5,3.597312260588446,Adult
1,2,21.0,0,0,10.5,False,False,True,-0.6100963453267019,-0.661784506956406,1,10.5,21.0,2.4423470353692043,YoungAdult
0,3,28.5,0,0,7.2292,True,False,False,-0.04605747689310296,-0.8215685615901446,1,7.2292,21.6876,2.1076888046179385,YoungAdult
1,2,5.0,1,2,27.75,False,False,True,-1.8133792646517128,0.18090686592851163,4,6.9375,55.5,3.3586377672433594,Child
0,3,11.0,5,2,46.9,True,False,True,-1.3621481699048337,1.1164164190152461,8,5.8625,140.7,3.8691155044168695,Child
0,3,22.0,0,0,7.2292,True,False,False,-0.5348911628688886,-0.8215685615901446,1,7.2292,21.6876,2.1076888046179385,YoungAdult
1,1,38.0,0,0,65.6344,False,False,True,0.6683917564561223,2.0316232164746784,1,65.6344,65.6344,4.19922096071412,Adult
0,1,45.0,1,0,65.6344,True,False,True,1.1948280336608146,2.0316232164746784,2,32.8172,65.6344,4.19922096071412,Adult
0,3,4.0,3,2,27.9,True,False,True,-1.8885844471095259,0.18823461699707605,6,4.6499999999999995,83.69999999999999,3.3638415951183864,Child
0,1,40.0,0,0,27.7208,True,False,False,0.8188021213717487,0.1794803970538311,1,27.7208,27.7208,3.357621598945279,Adult
1,3,25.0,1,1,15.2458,True,False,False,-0.3092756154954491,-0.42994423348178334,3,5.081933333333333,45.737399999999994,2.7878344138303452,YoungAdult
1,2,29.0,0,0,10.5,False,False,True,-0.008454885664196365,-0.661784506956406,1,10.5,21.0,2.4423470353692043,YoungAdult
0,3,19.0,0,0,8.1583,True,False,True,-0.7605067102423282,-0.776180471471456,1,8.1583,24.4749,2.2146605719425225,YoungAdult
1,3,17.0,4,2,7.925,False,False,True,-0.9109170751579546,-0.7875775669667633,7,1.1321428571428571,23.775,2.188856327665703,Teen
0,3,26.0,2,0,8.6625,True,False,True,-0.23407043303763592,-0.7515494575463212,3,2.8874999999999997,25.987499999999997,2.2682524139135403,YoungAdult
0,2,32.0,0,0,10.5,True,False,True,0.2171606617092432,-0.661784506956406,1,10.5,21.0,2.4423470353692043,YoungAdult
0,3,16.0,5,2,46.9,False,False,True,-0.9861222576157678,1.1164164190152461,8,5.8625,140.7,3.8691155044168695,Teen
0,2,21.0,0,0,65.6344,True,False,True,-0.6100963453267019,2.0316232164746784,1,65.6344,131.2688,4.19922096071412,YoungAdult
0,3,26.0,1,0,14.4542,True,False,False,-0.23407043303763592,-0.46861521845428766,2,7.2271,43.3626,2.737880811060884,YoungAdult
1,3,32.0,0,0,56.4958,True,False,True,0.2171606617092432,1.5851873103734548,1,56.4958,169.4874,4.05171190165724,YoungAdult
0,3,25.0,0,0,7.65,True,False,True,-0.3092756154954491,-0.8010117772591314,1,7.65,22.950000000000003,2.157559320943788,YoungAdult
0,3,25.0,0,0,7.8958,True,False,True,-0.3092756154954491,-0.7890040358414437,1,7.8958,23.6874,2.1855792552411137,YoungAdult
0,3,25.0,0,0,8.05,True,False,True,-0.3092756154954491,-0.7814711077429595,1,8.05,24.150000000000002,2.2027647577118348,YoungAdult
1,2,0.83,0,2,29.0,True,False,True,-2.126984875500794,0.24197145816654914,3,9.666666666666666,58.0,3.4011973816621555,Child
1,3,30.0,0,0,12.475,False,False,True,0.06675029679361683,-0.5653024512203068,1,12.475,37.425,2.600836116795061,YoungAdult
0,3,22.0,0,0,9.0,True,False,True,-0.5348911628688886,-0.735062017642051,1,9.0,27.0,2.302585092994046,YoungAdult
1,3,29.0,0,0,9.5,True,False,True,-0.008454885664196365,-0.710636180746836,1,9.5,28.5,2.3513752571634776,YoungAdult
1,3,21.5,0,0,7.7875,False,True,False,-0.5724937540977952,-0.7942946721129476,1,7.7875,23.362499999999997,2.1733302571367834,YoungAdult
0,1,28.0,0,0,47.1,True,False,True,-0.08366006812200955,1.1261867537733323,1,47.1,47.1,3.8732821771117156,YoungAdult
1,2,17.0,0,0,10.5,False,False,True,-0.9109170751579546,-0.661784506956406,1,10.5,21.0,2.4423470353692043,Teen
1,3,33.0,3,0,15.85,False,False,True,0.29236584416705635,-0.4004280521776055,4,3.9625,47.55,2.8243506567983707,YoungAdult
0,3,16.0,1,3,34.375,True,False,True,-0.9861222576157678,0.5045492047901105,5,6.875,103.125,3.5660053559634015,Teen
0,3,25.0,0,0,8.05,True,False,True,-0.3092756154954491,-0.7814711077429595,1,8.05,24.150000000000002,2.2027647577118348,YoungAdult
1,1,23.0,3,2,65.6344,False,False,True,-0.45968598041107545,2.0316232164746784,6,10.939066666666667,65.6344,4.19922096071412,YoungAdult
0,3,24.0,0,0,8.05,True,False,True,-0.3844807979532623,-0.7814711077429595,1,8.05,24.150000000000002,2.2027647577118348,YoungAdult
0,3,29.0,0,0,8.05,True,False,True,-0.008454885664196365,-0.7814711077429595,1,8.05,24.150000000000002,2.2027647577118348,YoungAdult
0,3,20.0,0,0,7.8542,True,False,True,-0.685301527784515,-0.7910362654711258,1,7.8542,23.5626,2.180891922715322,YoungAdult
0,1,46.0,1,0,61.175,True,False,True,1.2700332161186279,1.8137740623736347,2,30.5875,61.175,4.1299529896894684,Adult
0,3,26.0,1,2,20.575,True,False,True,-0.23407043303763592,-0.16960389351782373,4,5.14375,61.724999999999994,3.0715352369694915,YoungAdult
0,3,59.0,0,0,7.25,True,False,True,2.2477005880701992,-0.8205524467753036,1,7.25,21.75,2.1102132003465894,Adult
0,3,25.0,0,0,8.05,True,False,True,-0.3092756154954491,-0.7814711077429595,1,8.05,24.150000000000002,2.2027647577118348,YoungAdult
0,1,71.0,0,0,34.6542,True,False,False,3.1501627775639576,0.5181885921123986,1,34.6542,34.6542,3.57386695198272,Senior
1,1,23.0,0,1,63.3583,True,False,False,-0.45968598041107545,1.9204319217602805,2,31.67915,63.3583,4.164465907853638,YoungAdult
1,2,34.0,0,1,23.0,False,False,True,0.36757102662486957,-0.051138584576030925,2,11.5,46.0,3.1780538303479458,YoungAdult
0,2,34.0,1,0,26.0,True,False,True,0.36757102662486957,0.0954164367952591,2,13.0,52.0,3.295836866004329,YoungAdult
0,3,28.0,0,0,7.8958,False,False,True,-0.08366006812200955,-0.7890040358414437,1,7.8958,23.6874,2.1855792552411137,YoungAdult
0,3,25.0,0,0,7.8958,True,False,True,-0.3092756154954491,-0.7890040358414437,1,7.8958,23.6874,2.1855792552411137,YoungAdult
0,1,21.0,0,1,65.6344,True,False,True,-0.6100963453267019,2.0316232164746784,2,32.8172,65.6344,4.19922096071412,YoungAdult
0,3,33.0,0,0,8.6542,True,False,True,0.29236584416705635,-0.7519549264387818,1,8.6542,25.9626,2.267393053825037,YoungAdult
0,3,37.0,2,0,7.925,True,False,True,0.5931865739983091,-0.7875775669667633,3,2.6416666666666666,23.775,2.188856327665703,Adult
0,3,28.0,0,0,7.8958,True,False,True,-0.08366006812200955,-0.7890040358414437,1,7.8958,23.6874,2.1855792552411137,YoungAdult
1,3,21.0,0,0,7.65,False,False,True,-0.6100963453267019,-0.8010117772591314,1,7.65,22.950000000000003,2.157559320943788,YoungAdult
1,3,25.0,0,0,7.775,True,False,True,-0.3092756154954491,-0.7949053180353277,1,7.775,23.325000000000003,2.1719067693519296,YoungAdult
0,3,38.0,0,0,7.8958,True,False,True,0.6683917564561223,-0.7890040358414437,1,7.8958,23.6874,2.1855792552411137,Adult
1,3,21.5,1,0,24.15,False,True,False,-0.5724937540977952,0.005040840282963516,2,12.075,72.44999999999999,3.224857896545748,YoungAdult
0,1,47.0,0,0,52.0,True,False,True,1.345238398576441,1.3655599553464393,1,52.0,52.0,3.970291913552122,Adult
0,3,14.5,1,0,14.4542,False,False,False,-1.0989300313024875,-0.46861521845428766,2,7.2271,43.3626,2.737880811060884,Teen
0,3,22.0,0,0,8.05,True,False,True,-0.5348911628688886,-0.7814711077429595,1,8.05,24.150000000000002,2.2027647577118348,YoungAdult
0,3,20.0,1,0,9.825,False,False,True,-0.685301527784515,-0.6947593867649463,2,4.9125,29.474999999999998,2.3818582738885534,YoungAdult
0,3,17.0,0,0,14.4583,False,False,False,-0.9109170751579546,-0.46841492659174694,1,14.4583,43.3749,2.738146075922933,Teen
0,3,21.0,0,0,7.925,True,False,True,-0.6100963453267019,-0.7875775669667633,1,7.925,23.775,2.188856327665703,YoungAdult
0,3,70.5,0,0,7.75,True,True,False,3.1125601863350507,-0.7961266098800885,1,7.75,23.25,2.169053700369523,Senior
0,2,29.0,1,0,21.0,True,False,True,-0.008454885664196365,-0.14884193215689093,2,10.5,42.0,3.091042453358316,YoungAdult
0,1,24.0,0,1,65.6344,True,False,False,-0.3844807979532623,2.0316232164746784,2,32.8172,65.6344,4.19922096071412,YoungAdult
0,3,2.0,4,2,31.275,False,False,True,-2.038994812025152,0.35310901603977735,7,4.4678571428571425,93.82499999999999,3.4742929367327062,Child
0,2,21.0,2,0,65.6344,True,False,True,-0.6100963453267019,2.0316232164746784,3,21.878133333333334,131.2688,4.19922096071412,YoungAdult
0,3,25.0,0,0,8.05,True,False,True,-0.3092756154954491,-0.7814711077429595,1,8.05,24.150000000000002,2.2027647577118348,YoungAdult
0,2,32.5,1,0,30.0708,True,False,False,0.2547632529381498,0.2942818304613415,2,15.0354,60.1416,3.436268471383741,YoungAdult
1,2,32.5,0,0,13.0,False,False,True,0.2547632529381498,-0.539655322480331,1,13.0,26.0,2.6390573296152584,YoungAdult
0,1,54.0,0,1,65.6344,True,False,True,1.8716746757811333,2.0316232164746784,2,32.8172,65.6344,4.19922096071412,Adult
1,3,12.0,1,0,11.2417,True,False,False,-1.2869429874470204,-0.6255512205060441,2,5.62085,33.7251,2.5048481563289,Child
0,3,25.0,0,0,7.75,True,True,False,-0.3092756154954491,-0.7961266098800885,1,7.75,23.25,2.169053700369523,YoungAdult
1,3,24.0,0,0,7.1417,True,False,True,-0.3844807979532623,-0.8258430830468071,1,7.1417,21.4251,2.0969990034181696,YoungAdult
1,3,21.5,1,1,22.3583,False,False,False,-0.5724937540977952,-0.08248670364734986,3,7.452766666666666,67.0749,3.1509523813392697,YoungAdult
0,3,45.0,0,0,6.975,True,False,True,1.1948280336608146,-0.8339866570676719,1,6.975,20.924999999999997,2.076311648670908,Adult
0,3,33.0,0,0,7.8958,True,False,False,0.29236584416705635,-0.7890040358414437,1,7.8958,23.6874,2.1855792552411137,YoungAdult
0,3,20.0,0,0,7.05,True,False,True,-0.685301527784515,-0.8303227815333896,1,7.05,21.15,2.0856720914304723,YoungAdult
0,3,47.0,1,0,14.5,False,False,True,1.345238398576441,-0.466377811794686,2,7.25,43.5,2.740840023925201,Adult
1,2,29.0,1,0,26.0,False,False,True,-0.008454885664196365,0.0954164367952591,2,13.0,52.0,3.295836866004329,YoungAdult
0,2,25.0,0,0,13.0,True,False,True,-0.3092756154954491,-0.539655322480331,1,13.0,26.0,2.6390573296152584,YoungAdult
0,2,23.0,0,0,15.0458,True,False,False,-0.45968598041107545,-0.4397145682398693,1,15.0458,30.0916,2.775447133088262,YoungAdult
1,1,19.0,0,2,26.2833,False,False,True,-0.7605067102423282,0.10925611598008794,3,8.7611,26.2833,3.3062747934011893,YoungAdult
0,1,37.0,1,0,53.1,True,False,True,0.5931865739983091,1.4192967965159125,2,26.55,53.1,3.9908341858524357,Adult
0,3,16.0,0,0,9.2167,True,False,True,-0.9861222576157678,-0.7244758599316649,1,9.2167,27.6501,2.3240236363515288,Teen
0,1,24.0,0,0,65.6344,True,False,False,-0.3844807979532623,2.0316232164746784,1,65.6344,65.6344,4.19922096071412,YoungAdult
0,3,21.5,0,2,15.2458,False,False,False,-0.5724937540977952,-0.42994423348178334,3,5.081933333333333,45.737399999999994,2.7878344138303452,YoungAdult
1,3,22.0,0,0,7.75,False,False,True,-0.5348911628688886,-0.7961266098800885,1,7.75,23.25,2.169053700369523,YoungAdult
1,3,24.0,1,0,15.85,False,False,True,-0.3844807979532623,-0.4004280521776055,2,7.925,47.55,2.8243506567983707,YoungAdult
0,3,19.0,0,0,6.75,True,True,False,-0.7605067102423282,-0.8449782836705185,1,6.75,20.25,2.0476928433652555,YoungAdult
0,2,18.0,0,0,11.5,True,False,True,-0.8357118927001413,-0.612932833165976,1,11.5,23.0,2.5257286443082556,Teen
0,2,19.0,1,1,36.75,True,False,True,-0.7605067102423282,0.6205719300423816,3,12.25,73.5,3.6309854756950335,YoungAdult
1,3,27.0,0,0,7.7958,True,False,True,-0.15886525057982273,-0.7938892032204868,1,7.7958,23.3874,2.174274334826008,YoungAdult
0,3,9.0,2,2,34.375,False,False,True,-1.51255853482046,0.5045492047901105,5,6.875,103.125,3.5660053559634015,Child
0,2,36.5,0,2,26.0,True,False,True,0.5555839827694025,0.0954164367952591,3,8.666666666666666,52.0,3.295836866004329,Adult
0,2,42.0,0,0,13.0,True,False,True,0.969212486287375,-0.539655322480331,1,13.0,26.0,2.6390573296152584,Adult
0,2,51.0,0,0,12.525,True,False,True,1.6460591284076938,-0.5628598675307852,1,12.525,25.05,2.6045398247325453,Adult
1,1,22.0,1,0,65.6344,False,False,True,-0.5348911628688886,2.0316232164746784,2,32.8172,65.6344,4.19922096071412,YoungAdult
0,3,55.5,0,0,8.05,True,False,True,1.984482449467853,-0.7814711077429595,1,8.05,24.150000000000002,2.2027647577118348,Adult
0,3,40.5,0,2,14.5,True,False,True,0.8564047126006552,-0.466377811794686,3,4.833333333333333,43.5,2.740840023925201,Adult
0,3,25.0,0,0,7.3125,True,False,True,-0.3092756154954491,-0.8174992171634017,1,7.3125,21.9375,2.1177604059819726,YoungAdult
0,1,51.0,0,1,61.3792,True,False,False,1.6460591284076938,1.8237495741616405,2,30.6896,61.3792,4.133231886474144,Adult
1,3,16.0,0,0,7.7333,False,True,False,-0.9861222576157678,-0.7969424328323887,1,7.7333,23.1999,2.167143305297764,Teen
0,3,30.0,0,0,8.05,True,False,True,0.06675029679361683,-0.7814711077429595,1,8.05,24.150000000000002,2.2027647577118348,YoungAdult
0,3,25.0,0,0,8.6625,True,False,True,-0.3092756154954491,-0.7515494575463212,1,8.6625,25.987499999999997,2.2682524139135403,YoungAdult
0,3,25.0,8,2,65.6344,True,False,True,-0.3092756154954491,2.0316232164746784,11,5.966763636363637,196.9032,4.19922096071412,YoungAdult
0,3,44.0,0,1,16.1,True,False,True,1.1196228512030013,-0.3882151337299979,2,8.05,48.300000000000004,2.8390784635086144,Adult
1,2,40.0,0,0,15.75,False,False,True,0.8188021213717487,-0.4053132195566485,1,15.75,31.5,2.8183982582710754,Adult
0,3,26.0,0,0,7.775,True,False,True,-0.23407043303763592,-0.7949053180353277,1,7.775,23.325000000000003,2.1719067693519296,YoungAdult
0,3,17.0,0,0,8.6625,True,False,True,-0.9109170751579546,-0.7515494575463212,1,8.6625,25.987499999999997,2.2682524139135403,Teen
0,3,1.0,4,1,39.6875,True,False,True,-2.1141999944829655,0.7640737218017698,6,6.614583333333333,119.0625,3.705920919968788,Child
1,3,9.0,0,2,20.525,True,False,True,-1.51255853482046,-0.17204647720734526,3,6.841666666666666,61.574999999999996,3.0692150503137943,Child
1,1,35.0,0,1,55.0,False,False,True,0.4427762090826827,1.5121149767177293,2,27.5,55.0,4.02535169073515,YoungAdult
0,3,45.0,1,4,27.9,False,False,True,1.1948280336608146,0.18823461699707605,6,4.6499999999999995,83.69999999999999,3.3638415951183864,Adult
0,1,40.0,0,0,25.925,True,False,True,0.8188021213717487,0.09175256126097689,1,25.925,25.925,3.2930552230424524,Adult
0,3,28.0,0,0,56.4958,True,False,True,-0.08366006812200955,1.5851873103734548,1,56.4958,169.4874,4.05171190165724,YoungAdult
0,1,61.0,0,0,33.5,True,False,True,2.3981109529858253,0.4618039902234842,1,33.5,33.5,3.5409593240373143,Senior
0,3,4.0,4,1,29.125,True,True,False,-1.8885844471095259,0.24807791739035287,6,4.854166666666667,87.375,3.405355391810819,Child
1,3,1.0,1,1,11.1333,False,False,True,-2.1141999944829655,-0.6308467419449267,3,3.7111,33.3999,2.495953738718064,Child
0,3,21.0,0,0,7.925,True,False,True,-0.6100963453267019,-0.7875775669667633,1,7.925,23.775,2.188856327665703,YoungAdult
0,1,56.0,0,0,30.6958,True,False,False,2.0220850406967594,0.32481412658036024,1,30.6958,30.6958,3.4561841799918147,Adult
0,3,18.0,1,1,7.8542,True,False,True,-0.8357118927001413,-0.7910362654711258,3,2.6180666666666665,23.5626,2.180891922715322,Teen
0,3,25.0,3,1,25.4667,True,False,True,-0.3092756154954491,0.06936383916282275,5,5.0933399999999995,76.4001,3.275887339030031,YoungAdult
0,1,50.0,0,0,28.7125,False,False,False,1.5708539459498805,0.22792660195180042,1,28.7125,28.7125,3.391567832686312,Adult
0,2,30.0,0,0,13.0,True,False,True,0.06675029679361683,-0.539655322480331,1,13.0,26.0,2.6390573296152584,YoungAdult
0,3,36.0,0,0,0.0,True,False,True,0.5179813915404959,-1.1747270817559212,1,0.0,0.0,0.0,Adult
0,3,21.5,8,2,65.6344,False,False,True,-0.5724937540977952,2.0316232164746784,11,5.966763636363637,196.9032,4.19922096071412,YoungAdult
0,2,30.0,0,0,15.05,True,False,False,0.06675029679361683,-0.4395093912099495,1,15.05,30.1,2.775708849576025,YoungAdult
0,3,9.0,4,2,31.3875,True,False,True,-1.51255853482046,0.35860482934120075,7,4.483928571428572,94.1625,3.4777725458882283,Child
1,2,1.0,2,1,39.0,True,False,True,-2.1141999944829655,0.7304881960708492,4,9.75,78.0,3.6888794541139363,Child
1,3,4.0,0,2,22.025,False,False,True,-1.8885844471095259,-0.09876896652170025,3,7.341666666666666,66.07499999999999,3.1365805821413706,Child
0,1,40.0,0,0,50.0,True,False,True,0.8188021213717487,1.2678566077655793,1,50.0,50.0,3.9318256327243257,Adult
1,3,21.5,1,0,15.5,False,True,False,-0.5724937540977952,-0.417526138004256,2,7.75,46.5,2.803360380906535,YoungAdult
1,1,45.0,0,0,26.55,True,False,True,1.1948280336608146,0.12228485737999564,1,26.55,26.55,3.3160025355989236,Adult
0,3,40.0,1,1,15.5,True,True,False,0.8188021213717487,-0.417526138004256,3,5.166666666666667,46.5,2.803360380906535,Adult
0,3,36.0,0,0,7.8958,True,False,True,0.5179813915404959,-0.7890040358414437,1,7.8958,23.6874,2.1855792552411137,Adult
1,2,32.0,0,0,13.0,False,False,True,0.2171606617092432,-0.539655322480331,1,13.0,26.0,2.6390573296152584,YoungAdult
0,2,19.0,0,0,13.0,True,False,True,-0.7605067102423282,-0.539655322480331,1,13.0,26.0,2.6390573296152584,YoungAdult
1,3,19.0,1,0,7.8542,False,False,True,-0.7605067102423282,-0.7910362654711258,2,3.9271,23.5626,2.180891922715322,YoungAdult
1,2,3.0,1,1,26.0,True,False,True,-1.9637896295673392,0.0954164367952591,3,8.666666666666666,52.0,3.295836866004329,Child
1,1,44.0,0,0,27.7208,False,False,False,1.1196228512030013,0.1794803970538311,1,27.7208,27.7208,3.357621598945279,Adult
1,1,58.0,0,0,65.6344,False,False,False,2.172495405612386,2.0316232164746784,1,65.6344,65.6344,4.19922096071412,Adult
0,3,25.0,0,0,7.75,True,True,False,-0.3092756154954491,-0.7961266098800885,1,7.75,23.25,2.169053700369523,YoungAdult
0,3,42.0,0,1,8.4042,True,False,True,0.969212486287375,-0.7641678448863892,2,4.2021,25.2126,2.2411563979973974,Adult
1,3,21.5,0,0,7.75,False,True,False,-0.5724937540977952,-0.7961266098800885,1,7.75,23.25,2.169053700369523,YoungAdult
0,2,24.0,0,0,13.0,False,False,True,-0.3844807979532623,-0.539655322480331,1,13.0,26.0,2.6390573296152584,YoungAdult
0,3,28.0,0,0,9.5,True,False,True,-0.08366006812200955,-0.710636180746836,1,9.5,28.5,2.3513752571634776,YoungAdult
0,3,25.0,8,2,65.6344,True,False,True,-0.3092756154954491,2.0316232164746784,11,5.966763636363637,196.9032,4.19922096071412,YoungAdult
0,3,34.0,0,0,6.4958,True,False,True,0.36757102662486957,-0.8573963791480459,1,6.4958,19.4874,2.0143428636837015,YoungAdult
